Interval,Start Year,End Year,Phenomenon Name,Papers Studying Phenomenon,Total Unique Phenomena in Interval,Total Papers in Interval
1985-1989,1985,1989,Top Management Turnover Following Mergers And Acquisitions,1,22,10
1985-1989,1985,1989,Variations In Top Management Turnover Rates By Type Of Acquisition,1,22,10
1985-1989,1985,1989,Corporate Performance Variability,1,22,10
1985-1989,1985,1989,Managerial Characteristics' Impact On Performance,1,22,10
1985-1989,1985,1989,Firm Performance,1,22,10
1985-1989,1985,1989,Top Management Group Heterogeneity,1,22,10
1985-1989,1985,1989,Strategic Vision Creation And Communication,1,22,10
1985-1989,1985,1989,Visionary Leadership Styles,1,22,10
1985-1989,1985,1989,Organizational Renewal,1,22,10
1985-1989,1985,1989,Top Management Team Composition,1,22,10
1985-1989,1985,1989,Strategic Opportunity Recognition And Exploitation,1,22,10
1985-1989,1985,1989,Manager-Strategy Alignment,1,22,10
1985-1989,1985,1989,Strategy Implementation,1,22,10
1985-1989,1985,1989,Small Firm Performance In Hostile Environments,1,22,10
1985-1989,1985,1989,Small Firm Performance In Benign Environments,1,22,10
1985-1989,1985,1989,Innovation Adoption In Banks,1,22,10
1985-1989,1985,1989,Golden Parachute Adoption,1,22,10
1985-1989,1985,1989,Top Management Tenure,1,22,10
1985-1989,1985,1989,Corporate Ownership Structure,1,22,10
1985-1989,1985,1989,Board Composition,1,22,10
1985-1989,1985,1989,Target Company Top Management Turnover,1,22,10
1985-1989,1985,1989,Merger And Acquisition Negotiations,1,22,10
1990-1994,1990,1994,Organizational Performance,3,50,85
1990-1994,1990,1994,Creation And Evolution Of Quasi Markets In The Public Sector,2,50,85
1990-1994,1990,1994,Strategic Change,2,50,85
1990-1994,1990,1994,Middle Management Involvement In Strategy,2,50,85
1990-1994,1990,1994,Corporate Restructuring,2,50,85
1990-1994,1990,1994,TMT Consensus,1,50,85
1990-1994,1990,1994,Firm Performance,1,50,85
1990-1994,1990,1994,Management Of Political Imperative In International Business,1,50,85
1990-1994,1990,1994,Managerial Goals In Mergers And Acquisitions,1,50,85
1990-1994,1990,1994,Strategic Consensus Among Middle Managers,1,50,85
1990-1994,1990,1994,Management Buyouts,1,50,85
1990-1994,1990,1994,Operating Changes Prior To Public Offering,1,50,85
1990-1994,1990,1994,Distinguishing Characteristics Of Firms Undergoing Management Buyouts,1,50,85
1990-1994,1990,1994,Interfirm Differences,1,50,85
1990-1994,1990,1994,Firm/State Interdependencies,1,50,85
1990-1994,1990,1994,Strategic Orientation,1,50,85
1990-1994,1990,1994,Association Between Managerial Characteristics And Performance,1,50,85
1990-1994,1990,1994,Top Management Attention To Control Systems,1,50,85
1990-1994,1990,1994,Formation Of New Strategic Initiatives,1,50,85
1990-1994,1990,1994,Strategy-Structure-Performance Relationship,1,50,85
1990-1994,1990,1994,Internalization Decision,1,50,85
1990-1994,1990,1994,Host Country Operations Of Multinational Firms,1,50,85
1990-1994,1990,1994,Global Strategic Management,1,50,85
1990-1994,1990,1994,Foreign Direct Investment,1,50,85
1990-1994,1990,1994,Evolution Of Multinational Corporations,1,50,85
1990-1994,1990,1994,Strategy Formulation,1,50,85
1990-1994,1990,1994,Strategic Behavior In Unpredictable Environments,1,50,85
1990-1994,1990,1994,Adaptation Of Strategic Concepts Over Time,1,50,85
1990-1994,1990,1994,Top Management Turnover,1,50,85
1990-1994,1990,1994,Company Performance History,1,50,85
1990-1994,1990,1994,Association Between Managerial Characteristics And Strategic Orientation,1,50,85
1990-1994,1990,1994,Influence Of Top Management On Organizational Outcomes,1,50,85
1990-1994,1990,1994,Evolution Of Technology And Modes Of Organizing Economic Activity,1,50,85
1990-1994,1990,1994,Impact Of Strategy-Manager Coalignment On Organizational Performance,1,50,85
1990-1994,1990,1994,Market Reaction To Acquisition Announcements,1,50,85
1990-1994,1990,1994,Process By Which Leaders Influence Organizational Outcomes,1,50,85
1990-1994,1990,1994,Strategic Choices And Organizational Success,1,50,85
1990-1994,1990,1994,Strategic Management Research And Writing Evolution,1,50,85
1990-1994,1990,1994,Convergence Of Economics And Strategic Management,1,50,85
