Interval,Start Year,End Year,Author ID,Author Name,Given Name,Family Name,Papers Authored,Total Unique Authors in Interval,Total Papers in Interval
1990-1994,1990,1994,robert_simons,Robert Simons,,,1,6,85
1990-1994,1990,1994,james_p_walsh,James P. Walsh,,,1,6,85
1990-1994,1990,1994,john_w_ellwood,John W. Ellwood,,,1,6,85
1990-1994,1990,1994,stephen_j_mezias,Stephen J. Mezias,,,1,6,85
1990-1994,1990,1994,mary_ann_glynn,Mary Ann Glynn,,,1,6,85
1990-1994,1990,1994,philip_a_gibbs,Philip A. Gibbs,,,1,6,85
1995-1999,1995,1999,seung_ho_park,Seung Ho Park,,,1,11,106
1995-1999,1995,1999,michael_e_gordon,Michael E. Gordon,,,1,11,106
1995-1999,1995,1999,clifford_t_west_jr,"Clifford T. West, Jr.",,,1,11,106
1995-1999,1995,1999,charles_r_schwenk,Charles R. Schwenk,,,1,11,106
1995-1999,1995,1999,ron_sanchez,Ron Sanchez,,,1,11,106
1995-1999,1995,1999,joseph_t_mahoney,Joseph T. Mahoney,,,1,11,106
1995-1999,1995,1999,nandini_rajagopalan,Nandini Rajagopalan,,,1,11,106
1995-1999,1995,1999,harry_p_bowen,Harry P. Bowen,,,1,11,106
1995-1999,1995,1999,margarethe_f_wiersema,Margarethe F. Wiersema,,,1,11,106
1995-1999,1995,1999,peter_j_brews,Peter J. Brews,,,1,11,106
1995-1999,1995,1999,michelle_r_hunt,Michelle R. Hunt,,,1,11,106
2000-2004,2000,2004,sidney_g_winter,Sidney G. Winter,,,1,10,127
2000-2004,2000,2004,steven_e_phelan,Steven E. Phelan,,,1,10,127
2000-2004,2000,2004,manuel_ferreira,Manuel Ferreira,,,1,10,127
2000-2004,2000,2004,rommel_salvador,Rommel Salvador,,,1,10,127
2000-2004,2000,2004,peter_w_roberts,Peter W. Roberts,,,1,10,127
2000-2004,2000,2004,grahame_r_dowling,Grahame R. Dowling,,,1,10,127
2000-2004,2000,2004,yadong_luo,Yadong Luo,,,1,10,127
2000-2004,2000,2004,tony_s_frost,Tony S. Frost,,,1,10,127
2000-2004,2000,2004,julian_m_birkinshaw,Julian M. Birkinshaw,,,1,10,127
2000-2004,2000,2004,prescott_c_ensign,Prescott C. Ensign,,,1,10,127
2005-2009,2005,2009,yasemin_y_kor,YASEMIN Y. KOR,,,2,27,99
2005-2009,2005,2009,joseph_t_mahoney,Joseph T. Mahoney,,,1,27,99
2005-2009,2005,2009,g_tomas_m_hult,G. Tomas M. Hult,,,1,27,99
