Interval,Start Year,End Year,Topic ID,Topic Name,Cluster ID,Paper Count,Coherence,Representative Paper ID,Representative Paper Title,Total Topics in Interval,Total Papers in Interval
1985-1989,1985,1989,1985-1989_0,M&A and Top Management Dynamics,0,3,0.6484,1988_310,Top Management Turnover Following Mergers and Acquisitions,3,10
1985-1989,1985,1989,1985-1989_1,Top Management Impact,1,5,0.447,1989_308,Top Management Group Heterogeneity and Firm Performance,3,10
1985-1989,1985,1989,1985-1989_2,Leadership in Strategic Renewal,2,2,0.4544,1989_253,Visionary Leadership and Strategic Management,3,10
1990-1994,1990,1994,1990-1994_0,Inter-organizational Trust and Cooperation,0,2,0.6569,1992_1051,Structuring Cooperative Relationships between Organizations,10,85
1990-1994,1990,1994,1990-1994_1,Strategic Alignment and Performance,1,27,0.4322,1993_2008,Do Firm Strategies Exist?,10,85
1990-1994,1990,1994,1990-1994_2,Corporate Restructuring Strategies,2,10,0.4854,1993_1283,Effects of Executive Departures on the Performance of Acquired Firms,10,85
1990-1994,1990,1994,1990-1994_3,Organizational Renewal Strategies,3,8,0.4901,1992_2018,Strategic Renewal and the Interaction of Cumulative Stress and Inertia,10,85
1990-1994,1990,1994,1990-1994_4,Strategic Process Critique,4,5,0.461,1990_379,THE DESIGN SCHOOL: RECONSIDERING THE BASIC PREMISES OF STRATEGIC MANAGEMENT,10,85
1990-1994,1990,1994,1990-1994_5,Resource-Based Competitive Strategy,5,15,0.4295,1993_3422,Industry Variety and Performance,10,85
1990-1994,1990,1994,1990-1994_6,Global Strategic Management Dynamics,6,6,0.4022,1991_77,"Supplier Relations and Management: A Survey of Japanese, Japanese-Transplant, and U.S. Auto Plants",10,85
1990-1994,1990,1994,1990-1994_7,Top Management Dynamics,7,6,0.4381,1993_511,Board of Director Involvement in Restructuring: The Effects of Board Versus Managerial Controls and Characteristics,10,85
1990-1994,1990,1994,1990-1994_8,Corporate Strategy and Performance,8,2,1.0,1992_2443,,10,85
1990-1994,1990,1994,1990-1994_9,Corporate Entrepreneurship Strategy,9,4,0.5118,1990_295,A PARADIGM OF ENTREPRENEURSHIP: ENTREPRENEURIAL MANAGEMENT,10,85
1995-1999,1995,1999,1995-1999_0,Resource Utilization Strategies,0,1,1.0,1998_3460,ON THE UTILIZATION OF RESOURCES: PERSPECTIVES FROM THE U.S. TELECOMMUNICATIONS INDUSTRY,10,106
1995-1999,1995,1999,1995-1999_1,Evolutionary Strategy Dynamics,1,13,0.4248,1996_136,EVOLUTIONARY PERSPECTIVES ON STRATEGY,10,106
1995-1999,1995,1999,1995-1999_2,Corporate Strategy and Performance,2,11,0.3711,1997_3452,FORM OF CONTROL: A CRITICAL DETERMINANT OF ACQUISITION PERFORMANCE AND CEO REWARDS,10,106
1995-1999,1995,1999,1995-1999_3,Strategic Resources and Performance,3,31,0.4357,1998_994,FIRM AND INDUSTRY EFFECTS WITHIN STRATEGIC MANAGEMENT: AN EMPIRICAL EXAMINATION,10,106
1995-1999,1995,1999,1995-1999_4,Strategic Innovation and Alliances,4,7,0.3773,1995_1989,The Role of Strategic Alliances in High-Technology New Product Development,10,106
