Interval,Start Year,End Year,Phenomenon Name,Papers Studying Phenomenon,Total Unique Phenomena in Interval,Total Papers in Interval
1985-1989,1985,1989,Variations In Top Management Turnover Rates By Type Of Acquisition,1,22,10
1985-1989,1985,1989,Corporate Performance Variability,1,22,10
1985-1989,1985,1989,Managerial Characteristics' Impact On Performance,1,22,10
1985-1989,1985,1989,Firm Performance,1,22,10
1985-1989,1985,1989,Top Management Group Heterogeneity,1,22,10
1985-1989,1985,1989,Strategic Vision Creation And Communication,1,22,10
1985-1989,1985,1989,Visionary Leadership Styles,1,22,10
1985-1989,1985,1989,Organizational Renewal,1,22,10
1985-1989,1985,1989,Top Management Team Composition,1,22,10
1985-1989,1985,1989,Strategic Opportunity Recognition And Exploitation,1,22,10
1985-1989,1985,1989,Manager-Strategy Alignment,1,22,10
1985-1989,1985,1989,Strategy Implementation,1,22,10
1985-1989,1985,1989,Small Firm Performance In Hostile Environments,1,22,10
1985-1989,1985,1989,Small Firm Performance In Benign Environments,1,22,10
1985-1989,1985,1989,Innovation Adoption In Banks,1,22,10
1985-1989,1985,1989,Golden Parachute Adoption,1,22,10
1985-1989,1985,1989,Top Management Tenure,1,22,10
1985-1989,1985,1989,Corporate Ownership Structure,1,22,10
1985-1989,1985,1989,Board Composition,1,22,10
1985-1989,1985,1989,Top Management Turnover Following Mergers And Acquisitions,1,22,10
1990-1994,1990,1994,Organizational Performance,3,268,85
1990-1994,1990,1994,Corporate Restructuring,2,268,85
1990-1994,1990,1994,Strategic Change,2,268,85
1990-1994,1990,1994,Creation And Evolution Of Quasi Markets In The Public Sector,2,268,85
1990-1994,1990,1994,Middle Management Involvement In Strategy,2,268,85
1990-1994,1990,1994,TMT Consensus,1,268,85
1990-1994,1990,1994,Firm Performance,1,268,85
1990-1994,1990,1994,Management Of Political Imperative In International Business,1,268,85
1990-1994,1990,1994,Managerial Goals In Mergers And Acquisitions,1,268,85
1990-1994,1990,1994,Strategic Consensus Among Middle Managers,1,268,85
1990-1994,1990,1994,Management Buyouts,1,268,85
1990-1994,1990,1994,Operating Changes Prior To Public Offering,1,268,85
1990-1994,1990,1994,Distinguishing Characteristics Of Firms Undergoing Management Buyouts,1,268,85
1990-1994,1990,1994,Interfirm Differences,1,268,85
1990-1994,1990,1994,Firm/State Interdependencies,1,268,85
1990-1994,1990,1994,Strategic Orientation,1,268,85
1990-1994,1990,1994,Top Management Attention To Control Systems,1,268,85
1990-1994,1990,1994,Evolution Of Technology And Modes Of Organizing Economic Activity,1,268,85
1990-1994,1990,1994,Formation Of New Strategic Initiatives,1,268,85
1990-1994,1990,1994,Competitiveness Issue,1,268,85
1995-1999,1995,1999,Firm Performance,7,330,106
1995-1999,1995,1999,Subsidiary Initiative,2,330,106
1995-1999,1995,1999,CEO Duality,2,330,106
1995-1999,1995,1999,Strategy Absence,2,330,106
1995-1999,1995,1999,Asset Specificity,2,330,106
1995-1999,1995,1999,Strategic Consensus,2,330,106
1995-1999,1995,1999,Sustainable Competitive Advantage,2,330,106
1995-1999,1995,1999,Rigidities In Acquiring Vs. Shedding Resources,1,330,106
1995-1999,1995,1999,Diversification As A Means To Leverage Resources,1,330,106
1995-1999,1995,1999,Heterogeneous Resource Endowments Among Firms,1,330,106
1995-1999,1995,1999,Strategic Alliances In New Product Development,1,330,106
1995-1999,1995,1999,Temporal Evolution Of Product Innovativeness,1,330,106
1995-1999,1995,1999,Competence Development,1,330,106
1995-1999,1995,1999,Superior Firm Performance,1,330,106
1995-1999,1995,1999,Product Innovativeness,1,330,106
1995-1999,1995,1999,Institutional And Cultural Differences At The National Level Affecting Strategic Management,1,330,106
1995-1999,1995,1999,Governance Structure For Leveraging Resources,1,330,106
1995-1999,1995,1999,Differences In Business Strategy Patterns Between Managers In Japan And The U.S.,1,330,106
1995-1999,1995,1999,Organizing Principles Underlying Strategy Approaches In U.S. And Japanese Firms,1,330,106
1995-1999,1995,1999,Differences In Emphases And Patterns In Generic Competitive Methods Between U.S. And Japanese Managers,1,330,106
2000-2004,2000,2004,Firm Performance,6,264,127
2000-2004,2000,2004,Strategic Change,2,264,127
2000-2004,2000,2004,Sustained Superior Performance,2,264,127
2000-2004,2000,2004,Causal Ambiguity,2,264,127
2000-2004,2000,2004,CEO Succession,2,264,127
2000-2004,2000,2004,Strategic Decision Making,2,264,127
2000-2004,2000,2004,IJV Survival,1,264,127
2000-2004,2000,2004,Competitive Interaction Groups,1,264,127
2000-2004,2000,2004,Performance Variation Within Strategy Types,1,264,127
2000-2004,2000,2004,Ownership Control Structure,1,264,127
2000-2004,2000,2004,Sales Growth And Firm Performance,1,264,127
2000-2004,2000,2004,Governance Conditions On Sales Growth,1,264,127
2000-2004,2000,2004,Effective Integration Between Marketing And General Management,1,264,127
2000-2004,2000,2004,Alignment Of TPC Systems,1,264,127
2000-2004,2000,2004,Management Control Imbalance,1,264,127
2000-2004,2000,2004,Management Heterogeneity,1,264,127
2000-2004,2000,2004,Voluntary Disclosure Of Qualitative Information In R&D Project Announcements,1,264,127
2000-2004,2000,2004,Agent Tenure,1,264,127
2000-2004,2000,2004,Impact Of Qualitative Information On Stock Market Valuation,1,264,127
2000-2004,2000,2004,IJV Learning,1,264,127
2005-2009,2005,2009,Firm Performance,5,257,99
2005-2009,2005,2009,Performance,2,257,99
2005-2009,2005,2009,Financial Performance,2,257,99
2005-2009,2005,2009,Corporate Social Performance (CSP),2,257,99
2005-2009,2005,2009,Management And Governance Of Resource Deployments,1,257,99
2005-2009,2005,2009,Competitive Performance Undermined By Knowledge Utilization,1,257,99
2005-2009,2005,2009,Ownership Structure'S Effect On Compensation Strategy,1,257,99
2005-2009,2005,2009,Research Productivity Norms Across Disciplines,1,257,99
2005-2009,2005,2009,History Of Resource Deployments,1,257,99
2005-2009,2005,2009,Longitudinal Research Outcomes For Strategy Faculty,1,257,99
2005-2009,2005,2009,Influence Of Merit-Based Vs. Non-Merit Factors On Research Outcomes,1,257,99
2005-2009,2005,2009,Impact Of Particularism And Universalism On Research Outcomes,1,257,99
2005-2009,2005,2009,Ethics Codes Influence On Financial Executives' Decisions,1,257,99
2005-2009,2005,2009,Pressure From Stakeholders On Ethics Code Use,1,257,99
2005-2009,2005,2009,Value Creation And Appropriation,1,257,99
2005-2009,2005,2009,Knowledge Utilization In Sales Proposals,1,257,99
2005-2009,2005,2009,Training On Ethics Code Application,1,257,99
2005-2009,2005,2009,Transaction Costs Reduction,1,257,99
2005-2009,2005,2009,Decision Speed In New Ventures,1,257,99
2005-2009,2005,2009,Perceived Benefits Of Ethics Codes,1,257,99
2010-2014,2010,2014,Firm Performance,12,269,149
2010-2014,2010,2014,Strategic Change,3,269,149
2010-2014,2010,2014,Competitive Advantage,2,269,149
2010-2014,2010,2014,Board Independence,2,269,149
2010-2014,2010,2014,Innovation Performance,2,269,149
2010-2014,2010,2014,CEO Compensation,2,269,149
2010-2014,2010,2014,Firm'S Entrepreneurial Orientation,1,269,149
2010-2014,2010,2014,Pay Dispersion Within Top Management Teams (Tmts),1,269,149
2010-2014,2010,2014,Long-Term Firm Survival,1,269,149
2010-2014,2010,2014,Stakeholder Utility Functions,1,269,149
2010-2014,2010,2014,Financial Performance,1,269,149
2010-2014,2010,2014,Corporate Responsibility Performance (CRP),1,269,149
2010-2014,2010,2014,Intangible Resources,1,269,149
2010-2014,2010,2014,Frequency Of R&D Investments,1,269,149
2010-2014,2010,2014,Managing For Stakeholders,1,269,149
