Interval,Start Year,End Year,Topic Number,Topic Paper Count,Topic Coherence,Representative Paper ID,Representative Paper Title,Total Topics in Interval,Total Papers in Interval
1985-1989,1985,1989,1,3,0.6484,1988_310,Top Management Turnover Following Mergers and Acquisitions,3,10
1985-1989,1985,1989,2,5,0.447,1989_308,Top Management Group Heterogeneity and Firm Performance,3,10
1985-1989,1985,1989,3,2,0.4544,1989_253,Visionary Leadership and Strategic Management,3,10
1990-1994,1990,1994,1,2,0.6569,1992_1051,Structuring Cooperative Relationships between Organizations,10,85
1990-1994,1990,1994,2,27,0.4322,1993_2008,Do Firm Strategies Exist?,10,85
1990-1994,1990,1994,3,10,0.4854,1993_1283,Effects of Executive Departures on the Performance of Acquired Firms,10,85
1990-1994,1990,1994,4,8,0.4901,1992_2018,Strategic Renewal and the Interaction of Cumulative Stress and Inertia,10,85
1990-1994,1990,1994,5,5,0.461,1990_379,THE DESIGN SCHOOL: RECONSIDERING THE BASIC PREMISES OF STRATEGIC MANAGEMENT,10,85
1990-1994,1990,1994,6,15,0.4295,1993_3422,Industry Variety and Performance,10,85
1990-1994,1990,1994,7,6,0.4022,1991_77,"Supplier Relations and Management: A Survey of Japanese, Japanese-Transplant, and U.S. Auto Plants",10,85
1990-1994,1990,1994,8,6,0.4381,1993_511,Board of Director Involvement in Restructuring: The Effects of Board Versus Managerial Controls and Characteristics,10,85
1990-1994,1990,1994,9,2,1.0,1992_2443,,10,85
1990-1994,1990,1994,10,4,0.5118,1990_295,A PARADIGM OF ENTREPRENEURSHIP: ENTREPRENEURIAL MANAGEMENT,10,85
1995-1999,1995,1999,1,1,1.0,1998_3460,ON THE UTILIZATION OF RESOURCES: PERSPECTIVES FROM THE U.S. TELECOMMUNICATIONS INDUSTRY,10,106
1995-1999,1995,1999,2,13,0.4248,1996_136,EVOLUTIONARY PERSPECTIVES ON STRATEGY,10,106
1995-1999,1995,1999,3,11,0.3711,1997_3452,FORM OF CONTROL: A CRITICAL DETERMINANT OF ACQUISITION PERFORMANCE AND CEO REWARDS,10,106
1995-1999,1995,1999,4,31,0.4357,1998_994,FIRM AND INDUSTRY EFFECTS WITHIN STRATEGIC MANAGEMENT: AN EMPIRICAL EXAMINATION,10,106
1995-1999,1995,1999,5,7,0.3773,1995_1989,The Role of Strategic Alliances in High-Technology New Product Development,10,106
1995-1999,1995,1999,6,8,0.5334,1998_2622,BUILDING FIRM-SPECIFIC ADVANTAGES IN MULTINATIONAL CORPORATIONS: THE ROLE OF SUBSIDIARY INITIATIVE,10,106
1995-1999,1995,1999,7,10,0.4444,1997_1364,TOP MANAGEMENT TEAM AGREEMENT ABOUT THE STRATEGIC DECISION PROCESS: A TEST OF SOME OF ITS DETERMINANTS AND CONSEQUENCES,10,106
1995-1999,1995,1999,8,4,0.4069,1996_298,COMPETING IN THE NEW ECONOMY: MANAGING OUT OF BOUNDS,10,106
1995-1999,1995,1999,9,9,0.4549,1998_3280,RELATIVE ABSORPTIVE CAPACITY AND INTERORGANIZATIONAL LEARNING,10,106
1995-1999,1995,1999,10,12,0.4142,1995_1878,CEO Duality and Firm Performance: A Contingency Model,10,106
2000-2004,2000,2004,1,20,0.4174,2001_3486,STRATEGIC GROUPS AND COMPETITIVE ENACTMENT: A STUDY OF DYNAMIC RELATIONSHIPS BETWEEN MENTAL MODELS AND PERFORMANCE,10,127
2000-2004,2000,2004,2,38,1.0,2002_3459,,10,127
2000-2004,2000,2004,3,8,0.4114,2002_2153,"BOARD COMPOSITION, SHARE OWNERSHIP, AND ‘UNDERPRICING’ OF U.K. IPO FIRMS",10,127
2000-2004,2000,2004,4,12,0.3929,2002_3602,A RESOURCE-BASED VIEW OF MANUFACTURING STRATEGY AND THE RELATIONSHIP TO MANUFACTURING PERFORMANCE,10,127
2000-2004,2000,2004,5,11,0.5235,2004_3800,HOW DO MULTINATIONAL COMPANIES LEVERAGE TECHNOLOGICAL COMPETENCIES? MOVING FROM SINGLE TO INTERDEPENDENT EXPLANATIONS,10,127
2000-2004,2000,2004,6,5,0.3923,2002_1481,VARIATIONS IN OWNERSHIP BEHAVIOR AND PROPENSITY TO DIVERSIFY: A STUDY OF THE INDIAN CORPORATE CONTEXT,10,127
2000-2004,2000,2004,7,7,0.4443,2000_2604,PRODUCT AND INTERNATIONAL DIVERSIFICATION AMONG JAPANESE MULTINATIONAL FIRMS,10,127
2000-2004,2000,2004,8,10,0.3859,2000_4050,Dynamic Capabilities: What Are They?,10,127
2000-2004,2000,2004,9,11,0.3839,2002_177,THE IMPLICATIONS OF STRATEGY AND SOCIAL CONTEXT FOR THE RELATIONSHIP BETWEEN TOP MANAGEMENT TEAM HETEROGENEITY AND FIRM PERFORMANCE,10,127
2000-2004,2000,2004,10,5,0.4022,2004_3295,MOMENTUM AND SERENDIPITY: HOW ACQUIRED LEADERS CREATE VALUE IN THE INTEGRATION OF TECHNOLOGY FIRMS,10,127
